Wavelength [nm]	Wavenumbers [1/cm]	cis_azobenzene_epsilons
337.100	29664.79	271.8
337.200	29655.99	269.1
337.300	29647.20	265.4
337.400	29638.41	262.8
337.500	29629.63	259.1
337.600	29620.85	256.9
337.700	29612.08	253.5
337.800	29603.32	251.1
337.900	29594.55	248.8
338.000	29585.80	245.1
338.100	29577.05	243.4
338.200	29568.30	240.4
338.300	29559.56	238.2
338.400	29550.83	235.3
338.500	29542.10	232.4
338.600	29533.37	229.2
338.700	29524.65	227.7
338.800	29515.94	225.6
338.900	29507.23	222
339.000	29498.53	218.7
339.100	29489.83	217.4
339.200	29481.13	214.7
339.300	29472.44	213.6
339.400	29463.76	211.4
339.500	29455.08	207.3
339.600	29446.41	205.5
339.700	29437.74	203.6
339.800	29429.08	201.8
339.900	29420.42	198.9
340.000	29411.76	196
340.100	29403.12	193.7
340.200	29394.47	193.4
340.300	29385.84	191.2
340.400	29377.20	188.4
340.500	29368.58	185.9
340.600	29359.95	183.1
340.700	29351.34	181.1
340.800	29342.72	180.3
340.900	29334.12	178.7
341.000	29325.51	175.5
341.100	29316.92	174.6
341.200	29308.32	172.3
341.300	29299.74	170.3
341.400	29291.15	168.3
341.500	29282.58	168.3
341.600	29274.00	164.8
341.700	29265.44	163.9
341.800	29256.88	160.7
341.900	29248.32	160.5
342.000	29239.77	158.1
342.100	29231.22	157.3
342.200	29222.68	156.1
342.300	29214.14	153
342.400	29205.61	153
342.500	29197.08	151.2
342.600	29188.56	149.7
342.700	29180.04	147.4
342.800	29171.53	146.5
342.900	29163.02	146
343.000	29154.52	143.8
343.100	29146.02	142.2
343.200	29137.53	142.2
343.300	29129.04	138.8
343.400	29120.56	139
343.500	29112.08	136.8
343.600	29103.61	134.8
343.700	29095.14	133.1
343.800	29086.68	132.7
343.900	29078.22	132.1
344.000	29069.77	130.8
344.100	29061.32	129
344.200	29052.88	126.5
344.300	29044.44	126.6
344.400	29036.00	123.7
344.500	29027.58	123
344.600	29019.15	122.5
344.700	29010.73	121.2
344.800	29002.32	121.5
344.900	28993.91	119.1
345.000	28985.51	118.8
345.100	28977.11	117.6
345.200	28968.71	116.9
345.300	28960.32	115.7
345.400	28951.94	113.8
345.500	28943.56	113.4
345.600	28935.19	112.5
345.700	28926.82	111.1
345.800	28918.45	110.2
345.900	28910.09	109.6
346.000	28901.73	108.9
346.100	28893.38	108.5
346.200	28885.04	106.8
346.300	28876.70	105.9
346.400	28868.36	103.8
346.500	28860.03	104.2
346.600	28851.70	103.3
346.700	28843.38	102.7
346.800	28835.06	102.6
346.900	28826.75	99.78
347.000	28818.44	100.9
347.100	28810.14	100.4
347.200	28801.84	99.72
347.300	28793.55	97.64
347.400	28785.26	98.42
347.500	28776.98	96.8
347.600	28768.70	95.52
347.700	28760.43	96.39
347.800	28752.16	94.82
347.900	28743.89	92.7
348.000	28735.63	93.32
348.100	28727.38	92.93
348.200	28719.13	91.99
348.300	28710.88	92.81
348.400	28702.64	91.01
348.500	28694.40	89.91
348.600	28686.17	90.67
348.700	28677.95	88.96
348.800	28669.72	89.99
348.900	28661.51	87.46
349.000	28653.30	88.67
349.100	28645.09	86.11
349.200	28636.88	86.31
349.300	28628.69	86.76
349.400	28620.49	84.89
349.500	28612.30	85.03
349.600	28604.12	86.14
349.700	28595.94	83.61
349.800	28587.76	84.26
349.900	28579.59	84.54
350.000	28571.43	82.14
350.100	28563.27	83.54
350.200	28555.11	82.25
350.300	28546.96	83.28
350.400	28538.81	81.12
350.500	28530.67	81.49
350.600	28522.53	80.61
350.700	28514.40	80.15
350.800	28506.27	81.05
350.900	28498.15	79.98
351.000	28490.03	79.64
351.100	28481.91	79.39
351.200	28473.80	78.86
351.300	28465.70	77.25
351.400	28457.60	78.19
351.500	28449.50	78.03
351.600	28441.41	78.3
351.700	28433.32	76.94
351.800	28425.24	77.99
351.900	28417.16	77
352.000	28409.09	77.26
352.100	28401.02	76.81
352.200	28392.96	76.25
352.300	28384.90	76.49
352.400	28376.84	75.6
352.500	28368.79	75.01
352.600	28360.75	75.73
352.700	28352.71	75.32
352.800	28344.67	74.52
352.900	28336.64	74.59
353.000	28328.61	73.84
353.100	28320.59	73.99
353.200	28312.57	73.76
353.300	28304.56	73.12
353.400	28296.55	73.09
353.500	28288.54	73.01
353.600	28280.54	73.38
353.700	28272.55	73.61
353.800	28264.56	71.97
353.900	28256.57	74.13
354.000	28248.59	72.25
354.100	28240.61	73.55
354.200	28232.64	74.19
354.300	28224.67	72.75
354.400	28216.70	72.54
354.500	28208.74	71.98
354.600	28200.79	73.66
354.700	28192.84	73.53
354.800	28184.89	73.54
354.900	28176.95	72.74
355.000	28169.01	71.54
355.100	28161.08	71.28
355.200	28153.15	73.38
355.300	28145.23	72.82
355.400	28137.31	72.46
355.500	28129.40	73.12
355.600	28121.48	72.38
355.700	28113.58	72.72
355.800	28105.68	72.72
355.900	28097.78	72.96
356.000	28089.89	72.22
356.100	28082.00	72.62
356.200	28074.12	72.96
356.300	28066.24	72.72
356.400	28058.36	74
356.500	28050.49	72.79
356.600	28042.62	73.05
356.700	28034.76	71.73
356.800	28026.91	73.22
356.900	28019.05	74.4
357.000	28011.20	71.88
357.100	28003.36	72.41
357.200	27995.52	72.91
357.300	27987.69	74.11
357.400	27979.85	71.68
357.500	27972.03	72.71
357.600	27964.21	72.93
357.700	27956.39	73.87
357.800	27948.57	74.72
357.900	27940.77	73.54
358.000	27932.96	73.12
358.100	27925.16	75.38
358.200	27917.36	75.59
358.300	27909.57	74.5
358.400	27901.79	76.4
358.500	27894.00	75.22
358.600	27886.22	74.71
358.700	27878.45	76.56
358.800	27870.68	76.94
358.900	27862.91	77.7
