Wavelength_nm	Absorbance__2107362U1_0001A	Concentration_M__2107362U1_0001A	Path_length_cm__2107362U1_0001A	Epsilon_M-1_cm-1__2107362U1_0001A	Absorbance__2107362U1_0001B	Concentration_M__2107362U1_0001B	Path_length_cm__2107362U1_0001B	Epsilon_M-1_cm-1__2107362U1_0001B	Absorbance__2107362U1_0001C	Concentration_M__2107362U1_0001C	Path_length_cm__2107362U1_0001C	Epsilon_M-1_cm-1__2107362U1_0001C	Epsilon_mean_M-1_cm-1	Epsilon_SD_M-1_cm-1	Epsilon_SEM_M-1_cm-1	Epsilon_lower_nonnegative_M-1_cm-1	Epsilon_upper_nonnegative_M-1_cm-1
2.81764252e+02	2.91334384e-01	6.82000000e-05	1	4.27176516e+03	2.93991287e-01	6.87000000e-05	1	4.27934915e+03	2.99260206e-01	6.80000000e-05	1	4.40088539e+03	4.31733323e+03	7.24575819e+01	4.18334044e+01	4.24487565e+03	4.38979082e+03
2.82363190e+02	2.91335863e-01	6.82000000e-05	1	4.27178685e+03	2.94023650e-01	6.87000000e-05	1	4.27982023e+03	2.99079567e-01	6.80000000e-05	1	4.39822892e+03	4.31661200e+03	7.07963635e+01	4.08742995e+01	4.24581564e+03	4.38740836e+03
2.82962067e+02	2.91166186e-01	6.82000000e-05	1	4.26929891e+03	2.93862044e-01	6.87000000e-05	1	4.27746788e+03	2.98769278e-01	6.80000000e-05	1	4.39366585e+03	4.31347755e+03	6.95651203e+01	4.01634409e+01	4.24391243e+03	4.38304267e+03
2.83560944e+02	2.90877191e-01	6.82000000e-05	1	4.26506145e+03	2.93557328e-01	6.87000000e-05	1	4.27303242e+03	2.98442282e-01	6.80000000e-05	1	4.38885709e+03	4.30898365e+03	6.92871409e+01	4.00029494e+01	4.23969651e+03	4.37827080e+03
2.84159790e+02	2.90347672e-01	6.82000000e-05	1	4.25729724e+03	2.93029121e-01	6.87000000e-05	1	4.26534382e+03	2.97859300e-01	6.80000000e-05	1	4.38028382e+03	4.30097496e+03	6.88012236e+01	3.97224050e+01	4.23217374e+03	4.36977618e+03
2.84758606e+02	2.89577179e-01	6.82000000e-05	1	4.24599969e+03	2.92242546e-01	6.87000000e-05	1	4.25389441e+03	2.97081379e-01	6.80000000e-05	1	4.36884382e+03	4.28957930e+03	6.87584819e+01	3.96977280e+01	4.22082082e+03	4.35833779e+03
2.85357391e+02	2.88587045e-01	6.82000000e-05	1	4.23148160e+03	2.91140995e-01	6.87000000e-05	1	4.23786019e+03	2.96168648e-01	6.80000000e-05	1	4.35542130e+03	4.27492103e+03	6.97881935e+01	4.02922323e+01	4.20513283e+03	4.34470922e+03
2.85956177e+02	2.87031327e-01	6.82000000e-05	1	4.20867049e+03	2.89621517e-01	6.87000000e-05	1	4.21574260e+03	2.94562234e-01	6.80000000e-05	1	4.33179756e+03	4.25207022e+03	6.91363929e+01	3.99159151e+01	4.18293382e+03	4.32120661e+03
2.86554901e+02	2.84965365e-01	6.82000000e-05	1	4.17837779e+03	2.87583509e-01	6.87000000e-05	1	4.18607727e+03	2.92371685e-01	6.80000000e-05	1	4.29958360e+03	4.22134622e+03	6.78648382e+01	3.91817826e+01	4.15348138e+03	4.28921106e+03
2.87153625e+02	2.82407513e-01	6.82000000e-05	1	4.14087262e+03	2.84888193e-01	6.87000000e-05	1	4.14684414e+03	2.89819571e-01	6.80000000e-05	1	4.26205251e+03	4.18325642e+03	6.83046997e+01	3.94357368e+01	4.11495172e+03	4.25156112e+03
2.87752289e+02	2.79572714e-01	6.82000000e-05	1	4.09930666e+03	2.81962554e-01	6.87000000e-05	1	4.10425843e+03	2.86925898e-01	6.80000000e-05	1	4.21949850e+03	4.14102120e+03	6.80084240e+01	3.92646819e+01	4.07301277e+03	4.20902962e+03
2.88350952e+02	2.76717983e-01	6.82000000e-05	1	4.05744843e+03	2.79101062e-01	6.87000000e-05	1	4.06260643e+03	2.84130144e-01	6.80000000e-05	1	4.17838448e+03	4.09947978e+03	6.83821235e+01	3.94804374e+01	4.03109765e+03	4.16786190e+03
2.88949585e+02	2.74064091e-01	6.82000000e-05	1	4.01853506e+03	2.76422059e-01	6.87000000e-05	1	4.02361075e+03	2.81339022e-01	6.80000000e-05	1	4.13733857e+03	4.05982813e+03	6.71739674e+01	3.87829081e+01	3.99265416e+03	4.12700209e+03
2.89548187e+02	2.71279455e-01	6.82000000e-05	1	3.97770463e+03	2.73452052e-01	6.87000000e-05	1	3.98037922e+03	2.78309343e-01	6.80000000e-05	1	4.09278446e+03	4.01695610e+03	6.56829019e+01	3.79220411e+01	3.95127320e+03	4.08263900e+03
2.90146790e+02	2.68303353e-01	6.82000000e-05	1	3.93406676e+03	2.70377764e-01	6.87000000e-05	1	3.93562975e+03	2.75130766e-01	6.80000000e-05	1	4.04604068e+03	3.97191240e+03	6.42017292e+01	3.70668856e+01	3.90771067e+03	4.03611413e+03
2.90745331e+02	2.65161715e-01	6.82000000e-05	1	3.88800168e+03	2.67199687e-01	6.87000000e-05	1	3.88936954e+03	2.71679848e-01	6.80000000e-05	1	3.99529189e+03	3.92422103e+03	6.15529634e+01	3.55376200e+01	3.86266807e+03	3.98577400e+03
2.91343842e+02	2.61839124e-01	6.82000000e-05	1	3.83928335e+03	2.63759788e-01	6.87000000e-05	1	3.83929823e+03	2.68232063e-01	6.80000000e-05	1	3.94458916e+03	3.87439024e+03	6.07940438e+01	3.50994576e+01	3.81359620e+03	3.93518429e+03
2.91942352e+02	2.58767037e-01	6.82000000e-05	1	3.79423809e+03	2.60655702e-01	6.87000000e-05	1	3.79411502e+03	2.65330591e-01	6.80000000e-05	1	3.90192046e+03	3.83009119e+03	6.22060049e+01	3.59146537e+01	3.76788518e+03	3.89229719e+03
2.92540833e+02	2.55893467e-01	6.82000000e-05	1	3.75210363e+03	2.57825250e-01	6.87000000e-05	1	3.75291485e+03	2.62439216e-01	6.80000000e-05	1	3.85940024e+03	3.78813957e+03	6.17148805e+01	3.56311029e+01	3.72642469e+03	3.84985445e+03
2.93139252e+02	2.53554876e-01	6.82000000e-05	1	3.71781343e+03	2.55350993e-01	6.87000000e-05	1	3.71689946e+03	2.60058347e-01	6.80000000e-05	1	3.82438746e+03	3.75303345e+03	6.17960747e+01	3.56779804e+01	3.69123737e+03	3.81482952e+03
2.93737671e+02	2.51181159e-01	6.82000000e-05	1	3.68300819e+03	2.52795267e-01	6.87000000e-05	1	3.67969822e+03	2.57552024e-01	6.80000000e-05	1	3.78752976e+03	3.71674539e+03	6.13233990e+01	3.54050809e+01	3.65542199e+03	3.77806879e+03
