Wavelength [nm]	Wavenumbers [1/cm]	from clipboard (1)
657.484	15209.50	5.755
658.060	15196.18	-0.2905
658.637	15182.87	-3.476
659.214	15169.59	-0.4512
659.790	15156.33	-4.718
660.367	15143.09	-3.347
660.944	15129.88	-1.516
661.521	15116.69	2.595
662.097	15103.52	3.338
662.674	15090.38	-2.158
663.251	15077.26	-6.891
663.827	15064.16	-9.325
664.404	15051.08	-9.156
664.981	15038.03	-5.291
665.558	15025.00	-5.738
666.134	15011.99	-8.614
666.711	14999.00	-6.186
667.288	14986.04	-5.338
667.864	14973.10	-4.978
668.441	14960.18	-1.884
669.018	14947.29	-2.46
669.594	14934.41	-3.533
670.171	14921.56	-3.928
670.748	14908.73	-3.618
671.325	14895.92	-11.44
671.901	14883.14	-10.75
672.478	14870.37	-4.722
673.055	14857.63	-9.825
673.631	14844.91	-4.681
674.208	14832.21	-0.5729
674.785	14819.54	-2.041
675.362	14806.88	-5.317
675.938	14794.25	-9.396
676.515	14781.64	-11.03
677.092	14769.05	-12.01
677.668	14756.48	-11.81
678.245	14743.93	-9.664
678.822	14731.41	-9.839
679.399	14718.90	-13.13
679.975	14706.42	-15.3
680.552	14693.96	-11.61
681.129	14681.51	-7.949
681.705	14669.09	-9.397
682.282	14656.69	-11.42
682.859	14644.32	-12.16
683.435	14631.96	-11
684.012	14619.62	-5.481
684.589	14607.31	-8.086
685.166	14595.01	-15.27
685.742	14582.74	-14.09
686.319	14570.48	-12.18
686.896	14558.25	-10.76
687.472	14546.04	-8.515
688.049	14533.85	-9.657
688.626	14521.67	-13.78
689.203	14509.52	-16.69
689.779	14497.39	-13.58
690.356	14485.28	-10.59
690.933	14473.19	-13.23
691.509	14461.12	-19.23
692.086	14449.07	-18.87
692.663	14437.04	-18.16
693.240	14425.03	-16.43
693.816	14413.04	-11.46
694.393	14401.07	-8.702
694.970	14389.12	-7.939
695.546	14377.19	-8.945
696.123	14365.28	-12.34
696.700	14353.38	-12.41
697.277	14341.51	-5.724
697.853	14329.66	-4.318
698.430	14317.83	-2.05
699.007	14306.02	0.3334
699.583	14294.22	-3.502
700.160	14282.45	-6.082
700.737	14270.69	-8.371
701.313	14258.96	-14.65
701.890	14247.24	-23.74
702.467	14235.55	-25.8
703.044	14223.87	-28.34
703.620	14212.21	-30.74
704.197	14200.57	-25.12
704.774	14188.95	-22.69
705.350	14177.35	-16.6
705.927	14165.77	-8.238
706.504	14154.20	-10.41
707.081	14142.66	-8.898
707.657	14131.13	-6.025
708.234	14119.63	-1.39
708.811	14108.14	1.328
709.387	14096.67	-3.033
709.964	14085.22	-6.419
710.541	14073.79	-9.221
711.118	14062.37	-9.951
711.694	14050.98	-9.797
712.271	14039.60	-4.687
712.848	14028.24	-0.1374
713.424	14016.90	-4.329
714.001	14005.58	-7.03
714.578	13994.28	-4.129
715.154	13982.99	-8.03
715.731	13971.73	-3.945
716.308	13960.48	-0.3811
716.885	13949.25	-3.062
717.461	13938.03	1.287
718.038	13926.84	-1.731
718.615	13915.66	-1.196
719.191	13904.50	-0.9967
719.768	13893.36	-3.991
720.345	13882.24	-8.743
720.922	13871.13	-13.25
721.498	13860.05	-13.04
722.075	13848.98	-15.06
722.652	13837.92	-12.67
723.228	13826.89	-3.918
723.805	13815.87	-8.563
724.382	13804.87	-10.01
724.959	13793.89	-12.94
725.535	13782.93	-9.523
726.112	13771.98	-6.22
726.689	13761.05	-16.21
727.265	13750.14	-15.35
727.842	13739.24	-22.7
728.419	13728.37	-19.41
728.995	13717.51	-22.98
729.572	13706.66	-17.3
730.149	13695.84	-13.53
730.726	13685.03	-12.44
731.302	13674.24	-10.61
731.879	13663.46	-7.425
732.456	13652.70	-9.989
733.032	13641.96	-10.63
733.609	13631.24	-16.42
734.186	13620.53	-16.53
734.763	13609.84	-18.98
735.339	13599.16	-11.11
735.916	13588.51	-8.018
736.493	13577.87	-7.594
737.069	13567.24	-6.167
737.646	13556.64	-9.407
738.223	13546.05	-9.343
738.800	13535.47	-9.955
739.376	13524.91	-11.98
739.953	13514.37	-6.427
740.530	13503.85	-10.23
741.106	13493.34	-14.1
741.683	13482.85	-13.46
742.260	13472.37	-14.95
742.837	13461.91	-15
743.413	13451.47	-14.07
743.990	13441.04	-18.32
744.567	13430.63	-15.38
745.143	13420.24	-10.81
745.720	13409.86	-9.03
746.297	13399.50	-9.814
746.873	13389.15	-9.402
747.450	13378.82	-12.09
748.027	13368.50	-11.68
748.604	13358.20	-10.56
749.180	13347.92	-6.08
749.757	13337.65	-7.043
750.334	13327.40	-9.86
750.910	13317.17	-8.688
751.487	13306.95	-13.93
752.064	13296.74	-17.08
752.641	13286.55	-15.96
753.217	13276.38	-14.35
753.794	13266.22	-16.22
754.371	13256.08	-15.05
754.947	13245.96	-11.92
