Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
713.424	14016.91	21.38
714.001	14005.58	16.78
714.578	13994.28	19.78
715.154	13983.00	2.47
715.731	13971.73	-10.22
716.308	13960.48	-5.625
716.884	13949.25	-11.41
717.461	13938.04	1.179
718.038	13926.84	7.576
718.615	13915.67	4.08
719.191	13904.51	-17.32
719.768	13893.37	-3.223
720.345	13882.24	3.074
720.921	13871.14	-4.724
721.498	13860.05	-6.92
722.075	13848.98	5.173
722.652	13837.93	-3.016
723.228	13826.89	-8.118
723.805	13815.88	3.576
724.382	13804.88	-1.12
724.958	13793.90	-2.423
725.535	13782.93	-3.525
726.112	13771.98	-17.92
726.688	13761.05	-6.421
727.265	13750.14	-4.023
727.842	13739.25	-4.323
728.419	13728.37	-16.91
728.995	13717.51	-1.33
729.572	13706.67	-14.42
730.149	13695.84	6.568
730.725	13685.03	-3.334
731.302	13674.24	-17.62
731.879	13663.46	5.072
732.456	13652.71	14.57
733.032	13641.96	-8.717
733.609	13631.24	3.577
734.186	13620.53	11.27
734.762	13609.84	12.58
735.339	13599.17	12.37
735.916	13588.51	-3.018
736.493	13577.87	-10.02
737.069	13567.25	-0.8297
737.646	13556.64	-17.12
738.223	13546.05	-4.53
738.799	13535.47	15.75
739.376	13524.92	-19.92
739.953	13514.38	23.96
740.529	13503.85	2.296
741.106	13493.34	18.57
741.683	13482.85	4.379
742.260	13472.38	1.579
742.836	13461.92	15.97
743.413	13451.47	5.077
743.990	13441.05	-2.12
744.566	13430.63	-4.23
745.143	13420.24	-13.33
745.720	13409.86	-23.62
746.297	13399.50	-11.93
746.873	13389.15	1.874
747.450	13378.82	-4.623
748.027	13368.51	2.174
748.603	13358.21	3.269
749.180	13347.92	-7.722
749.757	13337.66	-2.324
750.334	13327.41	22.86
750.910	13317.17	28.66
751.487	13306.95	-5.421
752.064	13296.75	4.072
752.640	13286.56	-9.219
753.217	13276.38	-4.121
753.794	13266.23	6.174
754.371	13256.09	12.87
754.947	13245.96	7.366
755.524	13235.85	-22.72
756.101	13225.75	-1.636
756.677	13215.67	-1.525
757.254	13205.61	-4.522
757.831	13195.56	4.174
758.407	13185.52	-7.119
