Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
436.027	22934.34	-4.117
436.604	22904.05	6.077
437.181	22873.83	-2.219
437.757	22843.70	1.283
438.334	22813.65	8.777
438.911	22783.67	6.078
439.488	22753.77	3.181
440.064	22723.95	6.479
440.641	22694.21	9.877
441.218	22664.55	15.56
441.794	22634.96	3.572
442.371	22605.45	-3.621
442.948	22576.02	3.375
443.525	22546.67	10.38
444.101	22517.39	9.074
444.678	22488.19	0.678
445.255	22459.06	-2.311
445.831	22430.01	8.17
446.408	22401.03	-3.123
446.985	22372.13	-8.721
447.561	22343.30	-2.921
448.138	22314.54	-1.125
448.715	22285.87	-6.222
449.292	22257.26	4.679
449.868	22228.73	6.276
450.445	22200.27	3.477
451.022	22171.88	3.677
451.598	22143.57	-6.315
452.175	22115.32	3.081
452.752	22087.15	16.27
453.329	22059.05	5.377
453.905	22031.03	5.478
454.482	22003.07	6.377
455.059	21975.19	-2.918
455.635	21947.37	0.7844
456.212	21919.63	10.78
456.789	21891.95	20.87
457.366	21864.35	9.075
457.942	21836.81	6.574
458.519	21809.35	-0.7222
459.096	21781.95	3.789
459.672	21754.62	14.28
460.249	21727.37	13.38
460.826	21700.17	9.179
461.403	21673.05	-8.516
461.979	21646.00	-1.027
462.556	21619.01	-12.62
463.133	21592.09	8.882
463.709	21565.23	13.45
464.286	21538.45	-32.22
464.863	21511.73	20.05
465.439	21485.07	14.27
466.016	21458.48	2.272
466.593	21431.96	-16.32
467.170	21405.50	-4.417
467.746	21379.11	1.579
468.323	21352.78	4.677
468.900	21326.52	9.275
469.476	21300.32	3.168
470.053	21274.19	-9.426
470.630	21248.12	-25.42
471.207	21222.12	-9.219
471.783	21196.17	-5.519
472.360	21170.30	3.177
472.937	21144.48	-5.431
473.513	21118.73	-12.13
474.090	21093.04	-17.72
474.667	21067.41	-3.628
475.244	21041.84	0.06559
475.820	21016.34	-13.12
476.397	20990.90	-4.124
476.974	20965.52	0.8876
477.550	20940.20	10.28
478.127	20914.94	9.675
478.704	20889.75	-9.715
479.280	20864.61	-9.63
479.857	20839.53	-18.32
480.434	20814.52	-20.42
481.011	20789.56	-13.51
481.587	20764.67	0.5778
482.164	20739.83	1.577
482.741	20715.05	-0.9216
483.317	20690.34	-9.622
