Wavelength [nm]	Wavenumbers [1/cm]	Intensity
486.944	20536.24	10.73
487.517	20512.10	0.9796
488.090	20488.02	6.724
488.663	20463.99	9.047
489.236	20440.02	47.7
489.809	20416.10	12.99
490.383	20392.24	14.08
490.956	20368.44	12.64
491.529	20344.69	20.45
492.102	20321.00	18.06
492.675	20297.36	28.76
493.248	20273.78	22
493.821	20250.25	18.35
494.394	20226.78	24.82
494.967	20203.36	27.05
495.540	20180.00	30.2
496.113	20156.69	26.97
496.686	20133.43	18.47
497.259	20110.23	21.09
497.833	20087.08	31.72
498.406	20063.98	20.09
498.979	20040.94	13.52
499.552	20017.95	14.03
500.125	19995.01	13.53
500.698	19972.12	19.57
501.271	19949.29	14.17
501.844	19926.51	14.45
502.417	19903.78	17.88
502.990	19881.10	9.141
503.563	19858.48	16.69
504.136	19835.90	26.94
504.709	19813.38	23.11
505.282	19790.91	20.16
505.856	19768.49	15.33
506.429	19746.12	13.72
507.002	19723.80	9.211
507.575	19701.53	14.95
508.148	19679.31	16.06
508.721	19657.14	4.591
509.294	19635.02	17.21
509.867	19612.95	13.74
510.440	19590.93	5.442
511.013	19568.96	28.74
511.586	19547.04	16.15
512.159	19525.17	8.025
512.732	19503.35	28.63
513.306	19481.57	20.33
513.879	19459.85	16.04
514.452	19438.17	6.893
515.025	19416.54	11.03
515.598	19394.96	-4.16
516.171	19373.43	14.12
516.744	19351.94	-0.7045
517.317	19330.50	7.169
517.890	19309.11	4.152
518.463	19287.77	-16.83
519.036	19266.47	21.21
519.609	19245.23	8.838
520.182	19224.02	8.123
520.756	19202.87	15.58
521.329	19181.76	22.33
521.902	19160.70	20.57
522.475	19139.68	19.82
523.048	19118.71	16.96
523.621	19097.79	8.859
524.194	19076.91	10.23
524.767	19056.07	-0.6253
525.340	19035.29	8.342
525.913	19014.54	7.209
526.486	18993.85	26.82
527.059	18973.19	14.51
527.632	18952.59	7.022
528.206	18932.02	20.57
528.779	18911.51	7.167
529.352	18891.03	15.85
