Wavelength [nm],Intensity,
615.313,224.34379,
615.886,219.87649,
616.459,211.7175,
617.032,223.40643,
617.605,236.57265,
618.178,217.61445,
618.751,218.78482,
619.325,235.41703,
619.898,240.51648,
620.471,222.59654,
621.044,220.07063,
621.617,231.72601,
622.190,221.57694,
622.763,203.74495,
623.336,205.11843,
623.909,183.34603,
624.482,196.05898,
625.055,227.11265,
625.628,228.96841,
626.201,223.29253,
626.775,238.18136,
627.348,228.34782,
627.921,233.48648,
628.494,227.7187,
629.067,222.60986,
629.640,230.29106,
630.213,244.38173,
630.786,240.41933,
631.359,233.89431,
631.932,227.17205,
632.505,222.0741,
633.078,215.55578,
633.651,220.98195,
634.225,235.96277,
634.798,235.16782,
635.371,240.01798,
635.944,242.31689,
636.517,232.66822,
637.090,228.49077,
637.663,231.60851,
638.236,248.53074,
638.809,253.95333,
639.382,243.9899,
639.955,247.95786,
640.528,250.22211,
641.101,242.00768,
641.674,230.78935,
642.248,222.1487,
642.821,223.24494,
643.394,231.93381,
643.967,248.32189,
644.540,235.68019,
645.113,223.64867,
645.686,229.81557,
646.259,222.04412,
646.832,228.97127,
647.405,231.9119,
647.978,222.5501,
648.551,222.61109,
649.124,223.35693,
649.698,223.72811,
650.271,228.56108,
650.844,225.77538,
651.417,214.50627,
651.990,212.21533,
652.563,223.93586,
653.136,224.97628,
653.709,234.76918,
654.282,235.24791,
654.855,216.82947,
655.428,227.1759,
656.001,252.60428,
656.574,242.50354,
657.148,215.31909,
657.721,224.14847,
658.294,219.81455,
658.867,210.45465,
659.440,216.20103,
660.013,226.97089,
660.586,237.72659,
661.159,217.24961,
661.732,208.88382,
662.305,207.22477,
662.878,222.5114,
663.451,225.36337,
664.024,210.51527,
664.598,217.96863,
665.171,230.40295,
665.744,226.45943,
666.317,208.93836,
666.890,204.64023,
667.463,219.79251,
668.036,218.72469,
668.609,218.74584,
669.182,210.33031,
669.755,208.44248,
670.328,220.20165,
670.901,229.69433,
671.474,226.02914,
672.048,228.25351,
672.621,236.40406,
673.194,230.15795,
673.767,219.04915,
674.340,225.90795,
674.913,234.1174,
675.486,219.90953,
676.059,218.11861,
676.632,218.53462,
677.205,215.39448,
677.778,214.53316,
678.351,224.31762,
678.924,226.92866,
679.497,217.50921,
680.071,210.38475,
680.644,218.98329,
681.217,228.28494,
681.790,225.02668,
682.363,215.99447,
682.936,203.86157,
683.509,212.29865,
684.082,205.37487,
684.655,225.11861,
685.228,216.9135,
685.801,209.33943,
686.374,204.91604,
686.947,217.44078,
687.521,220.14657,
688.094,211.8583,
688.667,221.04704,
689.240,201.06393,
689.813,210.6678,
690.386,217.31823,
690.959,215.81576,
691.532,218.81991,
692.105,207.39677,
692.678,216.80001,
693.251,229.10182,
693.824,210.13497,
694.397,215.71262,
694.971,211.37717,
695.544,211.70606,
696.117,204.57802,
696.690,196.96594,
697.263,211.94249,
697.836,219.91367,
698.409,217.20371,
698.982,215.15098,
699.555,227.35052,
700.128,207.09121,
700.701,199.77689,
701.274,206.38514,
701.847,217.59044,
702.421,228.24467,
702.994,222.20467,
703.567,217.78598,
704.140,230.41087,
704.713,239.23822,
705.286,231.63845,
705.859,229.82067,
706.432,223.49245,
707.005,216.83254,
707.578,226.33245,
708.151,231.422,
708.724,219.80189,
709.297,218.71188,
709.870,224.31628,
710.444,221.74935,
711.017,219.50386,
711.590,220.96577,
712.163,219.39589,
712.736,220.88479,
713.309,208.31938,
713.882,196.04226,
714.455,206.5377,
715.028,216.17544,
715.601,207.38008,
716.174,217.89362,
716.747,218.85592,
717.320,217.65496,
717.894,216.43299,
718.467,195.70963,
719.040,206.64299,
719.613,226.61478,
720.186,226.2333,
720.759,236.20664,
721.332,214.23748,
721.905,213.72761,
722.478,224.2764,
723.051,217.92164,
723.624,205.97391,
724.197,204.34848,
724.770,198.00068,
725.344,189.81603,
725.917,194.31841,
726.490,203.80319,
727.063,209.70208,
727.636,198.39592,
728.209,198.49754,
728.782,213.92888,
729.355,222.49875,
729.928,209.33116,
730.501,208.07314,
731.074,198.64492,
731.647,213.87951,
732.220,196.6028,
732.794,200.78329,
733.367,205.86856,
733.940,212.3641,
