Wavelength [nm],Intensity,Intensity (baselined),Intensity (normalised)
237.083,195.48826,-23.152778725000047,-5.359504353254048e-05
237.656,207.55481,-11.08622872500004,-2.5662876935220945e-05
238.229,186.74078,-31.900258725000043,-7.384408478018131e-05
238.802,186.47815,-32.162888725000045,-7.445203194929378e-05
239.375,186.57386,-32.06717872500005,-7.423047834324819e-05
239.948,196.04441,-22.596628725000045,-5.230764369968856e-05
240.521,211.13692,-7.5041187250000405,-1.7370855330874698e-05
241.094,201.87524,-16.765798725000053,-3.881018875518095e-05
241.667,176.40348,-42.23755872500004,-9.77733094356521e-05
242.24,207.1356,-11.505438725000033,-2.663328219266919e-05
242.813,206.63212,-12.008918725000058,-2.7798759254332972e-05
243.387,220.54592,1.9048812749999513,4.409500737278929e-06
243.96,217.66299,-0.9780487250000363,-2.2640290660542538e-06
244.533,220.74237,2.10133127499995,4.864251608741226e-06
245.106,212.5821,-6.058938725000047,-1.4025490788141766e-05
245.679,205.94754,-12.69349872500004,-2.9383454350213112e-05
246.252,216.37035,-2.270688725000042,-5.256287485433386e-06
246.825,210.19383,-8.447208725000053,-1.9553960443460017e-05
247.398,204.80024,-13.840798725000042,-3.2039273514523106e-05
247.971,218.56365,-0.07738872500004845,-1.791427342078307e-07
248.544,213.24139,-5.399648725000048,-1.2499338067111584e-05
249.117,218.35141,-0.2896287250000569,-6.704449737556161e-07
249.69,222.13234,3.4913012749999552,8.081813679530007e-06
250.263,215.22893,-3.412108725000053,-7.898495373977564e-06
250.837,212.2019,-6.439138725000049,-1.4905594027286421e-05
251.41,206.22189,-12.419148725000042,-2.8748377223281674e-05
251.983,186.5378,-32.10323872500004,-7.43139515752407e-05
252.556,202.09679,-16.544248725000045,-3.829733532900393e-05
253.129,187.83068,-30.810358725000043,-7.132113759358543e-05
253.702,211.17686,-7.464178725000039,-1.7278400508750977e-05
254.275,199.72984,-18.911198725000048,-4.377645253545693e-05
254.848,205.14134,-13.49969872500003,-3.12496806295356e-05
255.421,207.16669,-11.474348725000056,-2.6561313729478796e-05
255.994,196.29838,-22.342658725000035,-5.1719743069374055e-05
256.567,214.28284,-4.358198725000051,-1.0088545015014809e-05
257.14,225.23409,6.593051274999965,1.5261877388148966e-05
257.713,220.84801,2.206971274999944,5.108791603962782e-06
258.287,196.25429,-22.386748725000047,-5.182180448918967e-05
258.86,207.11537,-11.525668725000031,-2.668011146286355e-05
259.433,221.9969,3.355861274999967,7.76829136835236e-06
260.006,207.91649,-10.724548725000034,-2.4825644585053024e-05
260.579,208.4887,-10.15233872500005,-2.350106837655501e-05
261.152,217.473,-1.1680387250000308,-2.7038260529166615e-06
261.725,218.7593,0.11826127499995209,2.737562630006157e-07
262.298,224.93777,6.296731274999956,1.4575943164521005e-05
262.871,210.24557,-8.395468725000057,-1.9434190476091948e-05
263.444,202.80996,-15.831078725000054,-3.664645887697662e-05
264.017,221.67557,3.0345312749999493,7.024462925863234e-06
264.59,192.99971,-25.64132872500005,-5.935564562557947e-05
265.163,185.89945,-32.74158872500004,-7.579163148767623e-05
265.737,194.63238,-24.008658725000032,-5.557627120302736e-05
266.31,196.32547,-22.31556872500005,-5.1657033977452915e-05
266.883,211.22208,-7.418958725000039,-1.7173723316551816e-05
267.456,212.98641,-5.6546287250000375,-1.3089576688671535e-05
