Wavelength [nm]	Wavenumbers [1/cm]	LED340nm_normalisedarea
602.705	16591.86	247.8
603.278	16576.09	211.3
603.851	16560.36	196.8
604.425	16544.66	236.5
604.998	16528.99	212.9
605.571	16513.35	230.2
606.144	16497.74	214
606.717	16482.15	210.7
607.290	16466.60	226.1
607.863	16451.07	225
608.436	16435.58	210.3
609.009	16420.11	202.4
609.582	16404.68	197.8
610.155	16389.27	211
610.728	16373.89	222.2
611.301	16358.54	198.7
611.875	16343.22	215.9
612.448	16327.93	212.2
613.021	16312.66	245.5
613.594	16297.43	231.2
614.167	16282.22	212
614.740	16267.04	214
615.313	16251.89	224.3
615.886	16236.77	219.9
616.459	16221.67	211.7
617.032	16206.61	223.4
617.605	16191.57	236.6
618.178	16176.56	217.6
618.751	16161.58	218.8
619.325	16146.62	235.4
619.898	16131.70	240.5
620.471	16116.80	222.6
621.044	16101.92	220.1
621.617	16087.08	231.7
622.190	16072.26	221.6
622.763	16057.47	203.7
623.336	16042.71	205.1
623.909	16027.97	183.3
624.482	16013.27	196.1
625.055	15998.58	227.1
625.628	15983.93	229
626.201	15969.30	223.3
626.775	15954.70	238.2
627.348	15940.13	228.3
627.921	15925.58	233.5
628.494	15911.06	227.7
629.067	15896.56	222.6
629.640	15882.09	230.3
630.213	15867.65	244.4
630.786	15853.24	240.4
631.359	15838.85	233.9
631.932	15824.48	227.2
632.505	15810.14	222.1
633.078	15795.83	215.6
633.651	15781.55	221
634.225	15767.29	236
634.798	15753.05	235.2
635.371	15738.84	240
635.944	15724.66	242.3
636.517	15710.50	232.7
637.090	15696.37	228.5
637.663	15682.27	231.6
638.236	15668.18	248.5
638.809	15654.13	254
639.382	15640.10	244
639.955	15626.09	248
640.528	15612.11	250.2
641.101	15598.16	242
641.674	15584.23	230.8
642.248	15570.32	222.1
642.821	15556.44	223.2
643.394	15542.58	231.9
643.967	15528.75	248.3
644.540	15514.94	235.7
645.113	15501.16	223.6
645.686	15487.40	229.8
646.259	15473.67	222
646.832	15459.96	229
647.405	15446.28	231.9
647.978	15432.62	222.6
648.551	15418.98	222.6
649.124	15405.37	223.4
649.698	15391.78	223.7
650.271	15378.21	228.6
650.844	15364.67	225.8
651.417	15351.16	214.5
651.990	15337.66	212.2
652.563	15324.19	223.9
653.136	15310.75	225
653.709	15297.32	234.8
654.282	15283.93	235.2
654.855	15270.55	216.8
655.428	15257.20	227.2
656.001	15243.87	252.6
656.574	15230.57	242.5
657.148	15217.28	215.3
