Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0035
416.419	24014.28	0.9516	0.5374
416.996	23981.06	0.9511	0.5376
417.572	23947.94	0.9389	0.5355
418.149	23914.91	0.9408	0.5367
418.726	23881.98	0.9313	0.5344
419.303	23849.13	0.9291	0.5353
419.879	23816.37	0.9256	0.5343
420.456	23783.7	0.9218	0.5326
421.033	23751.13	0.915	0.5325
421.609	23718.64	0.9107	0.5324
422.186	23686.24	0.9035	0.5299
422.763	23653.93	0.8983	0.5291
423.339	23621.7	0.8907	0.5272
423.916	23589.57	0.8855	0.5264
424.493	23557.52	0.8798	0.5256
425.07	23525.56	0.8726	0.5238
425.646	23493.68	0.8633	0.5208
426.223	23461.89	0.8551	0.5178
426.8	23430.19	0.8497	0.5168
427.376	23398.57	0.8436	0.5156
427.953	23367.04	0.8351	0.5129
428.53	23335.6	0.8266	0.5102
429.107	23304.23	0.8192	0.5081
429.683	23272.96	0.8116	0.506
430.26	23241.76	0.8041	0.5034
430.837	23210.65	0.7962	0.5017
431.413	23179.62	0.7854	0.4991
431.99	23148.68	0.7757	0.4954
432.567	23117.81	0.7688	0.4932
433.144	23087.03	0.758	0.4906
433.72	23056.34	0.7514	0.4877
434.297	23025.72	0.7411	0.4831
434.874	22995.18	0.7307	0.4806
435.45	22964.73	0.7224	0.4769
436.027	22934.35	0.7104	0.4742
436.604	22904.06	0.7064	0.4712
437.181	22873.85	0.6914	0.4651
437.757	22843.71	0.6815	0.4619
438.334	22813.66	0.6719	0.4588
438.911	22783.68	0.6626	0.4555
439.487	22753.78	0.648	0.4512
440.064	22723.96	0.6382	0.4459
440.641	22694.22	0.6301	0.443
441.217	22664.56	0.6188	0.4388
441.794	22634.97	0.6108	0.4364
442.371	22605.47	0.5965	0.4307
442.948	22576.03	0.5875	0.4281
443.524	22546.68	0.5762	0.4238
444.101	22517.4	0.5658	0.4195
444.678	22488.2	0.5547	0.416
445.254	22459.07	0.5429	0.4105
445.831	22430.02	0.5329	0.4058
446.408	22401.04	0.522	0.4004
446.985	22372.14	0.5105	0.3964
447.561	22343.31	0.4994	0.3928
448.138	22314.56	0.4885	0.3874
448.715	22285.88	0.4779	0.3836
449.291	22257.27	0.4678	0.3801
449.868	22228.74	0.4571	0.3747
450.445	22200.28	0.4462	0.3703
451.022	22171.89	0.4347	0.3654
451.598	22143.58	0.4238	0.3613
452.175	22115.33	0.4139	0.3573
452.752	22087.16	0.4031	0.3515
453.328	22059.07	0.3925	0.3469
453.905	22031.04	0.3826	0.3418
454.482	22003.08	0.3725	0.3373
455.058	21975.2	0.3625	0.3335
455.635	21947.38	0.3531	0.33
456.212	21919.64	0.3427	0.325
456.789	21891.96	0.3313	0.3187
457.365	21864.36	0.3231	0.3149
457.942	21836.82	0.3142	0.3111
458.519	21809.36	0.3047	0.3059
459.095	21781.96	0.2943	0.3011
459.672	21754.63	0.2866	0.296
460.249	21727.38	0.2784	0.2925
460.826	21700.18	0.2682	0.289
461.402	21673.06	0.2609	0.2846
461.979	21646.01	0.2496	0.2781
462.556	21619.02	0.2418	0.2733
463.132	21592.1	0.2321	0.2684
463.709	21565.24	0.2238	0.2659
464.286	21538.46	0.217	0.2603
464.863	21511.74	0.2079	0.2563
465.439	21485.08	0.2006	0.2508
466.016	21458.49	0.1934	0.2468
466.593	21431.97	0.1861	0.2419
467.169	21405.51	0.1785	0.2389
467.746	21379.12	0.1709	0.2335
468.323	21352.79	0.1661	0.2304
468.9	21326.53	0.1585	0.2259
469.476	21300.33	0.152	0.2221
470.053	21274.2	0.1455	0.2169
470.63	21248.13	0.1391	0.2121
471.206	21222.13	0.1326	0.2085
471.783	21196.18	0.1273	0.2047
472.36	21170.3	0.1209	0.1997
472.936	21144.49	0.1158	0.1962
473.513	21118.74	0.1107	0.1924
474.09	21093.05	0.105	0.1878
474.667	21067.42	0.09971	0.1843
475.243	21041.85	0.09462	0.1806
475.82	21016.35	0.09016	0.1775
476.397	20990.91	0.08623	0.1741
476.973	20965.53	0.08165	0.1691
477.55	20940.21	0.07682	0.165
478.127	20914.95	0.07241	0.1617
478.704	20889.75	0.06841	0.1577
479.28	20864.62	0.06474	0.1538
479.857	20839.54	0.06144	0.151
480.434	20814.53	0.0587	0.148
481.01	20789.57	0.05523	0.1444
481.587	20764.68	0.05207	0.1406
482.164	20739.84	0.04954	0.1375
482.741	20715.06	0.04693	0.1348
483.317	20690.34	0.04275	0.1309
483.894	20665.69	0.04112	0.1276
484.471	20641.08	0.03853	0.1243
485.047	20616.54	0.03386	0.1188
485.624	20592.06	0.03314	0.1173
486.201	20567.63	0.03312	0.1177
486.777	20543.27	0.0309	0.1142
487.354	20518.96	0.03057	0.1119
487.931	20494.7	0.02783	0.1087
488.508	20470.51	0.02593	0.1053
489.084	20446.37	0.02601	0.1038
489.661	20422.29	0.02263	0.1007
490.238	20398.27	0.02302	0.09939
490.814	20374.3	0.0214	0.09607
491.391	20350.39	0.02108	0.09445
491.968	20326.53	0.01991	0.09132
492.545	20302.73	0.01743	0.0883
493.121	20278.99	0.01728	0.08673
493.698	20255.3	0.01554	0.08372
494.275	20231.66	0.01462	0.08153
494.851	20208.09	0.01423	0.07929
495.428	20184.56	0.01244	0.07616
496.005	20161.09	0.01281	0.07549
496.582	20137.68	0.01267	0.07434
497.158	20114.32	0.012	0.07132
497.735	20091.01	0.01072	0.06974
498.312	20067.76	0.0105	0.06767
498.888	20044.56	0.01058	0.06607
499.465	20021.42	0.008768	0.06424
500.042	19998.33	0.009143	0.06314
500.619	19975.29	0.008923	0.06097
501.195	19952.31	0.008144	0.05935
501.772	19929.37	0.00779	0.05799
502.349	19906.49	0.007471	0.05631
502.925	19883.67	0.007137	0.0545
503.502	19860.89	0.00664	0.05316
504.079	19838.17	0.006158	0.05154
504.655	19815.5	0.00591	0.04957
505.232	19792.88	0.00569	0.04822
505.809	19770.31	0.005482	0.04693
506.386	19747.8	0.005431	0.04556
506.962	19725.33	0.005509	0.0449
507.539	19702.92	0.005477	0.04382
508.116	19680.56	0.00561	0.04235
508.692	19658.24	0.005325	0.04138
509.269	19635.98	0.004551	0.03995
509.846	19613.77	0.004636	0.03861
510.423	19591.61	0.004565	0.03781
510.999	19569.5	0.004132	0.03699
511.576	19547.44	0.003723	0.03531
512.153	19525.43	0.004665	0.03467
512.729	19503.47	0.00337	0.03297
513.306	19481.55	0.004043	0.03232
513.883	19459.69	0.004797	0.03173
514.46	19437.87	0.00429	0.03142
515.036	19416.11	0.003516	0.0299
515.613	19394.39	0.00313	0.02807
516.19	19372.72	0.003193	0.02734
516.766	19351.1	0.00327	0.02696
517.343	19329.53	0.003543	0.02712
517.92	19308.01	0.002955	0.02597
518.496	19286.53	0.002231	0.02562
519.073	19265.11	0.003064	0.02442
