Wavelength [nm]	Wavenumbers [1/cm]	Intensity
486.944	20536.25	264.7
487.517	20512.11	250.6
488.090	20488.02	254.2
488.663	20464.00	261.1
489.236	20440.03	295.4
489.809	20416.11	266.7
490.382	20392.25	265.6
490.955	20368.45	265.6
491.528	20344.70	269.3
492.102	20321.01	269.2
492.675	20297.37	276.4
493.248	20273.79	272.1
493.821	20250.26	274.5
494.394	20226.79	277.6
494.967	20203.37	279
495.540	20180.01	280.9
496.113	20156.69	276.4
496.686	20133.44	266.2
497.259	20110.23	269.3
497.832	20087.09	280.6
498.405	20063.99	270.6
498.978	20040.95	264.4
499.552	20017.95	266.5
500.125	19995.02	266.7
500.698	19972.13	269.1
501.271	19949.30	267
501.844	19926.52	271.4
502.417	19903.79	273.8
502.990	19881.11	265.3
503.563	19858.49	265.5
504.136	19835.91	271.7
504.709	19813.39	273.5
505.282	19790.92	274.1
505.855	19768.50	271.1
506.428	19746.13	268.7
507.002	19723.81	260.5
507.575	19701.54	267
508.148	19679.32	263.2
508.721	19657.15	254.4
509.294	19635.03	269.9
509.867	19612.96	266.4
510.440	19590.94	261.1
511.013	19568.97	282.1
511.586	19547.05	266.3
512.159	19525.18	262.3
512.732	19503.36	280.4
513.305	19481.58	268.4
513.878	19459.86	266
514.452	19438.18	263.5
515.025	19416.55	266.3
515.598	19394.97	250.3
516.171	19373.43	267.2
516.744	19351.95	251.6
517.317	19330.51	256.1
517.890	19309.12	256.5
518.463	19287.78	234.4
519.036	19266.48	274.4
519.609	19245.23	260.6
520.182	19224.03	259
520.755	19202.88	267.6
521.328	19181.77	276.1
521.902	19160.70	273.7
522.475	19139.69	275.3
523.048	19118.72	273.2
523.621	19097.79	263.1
524.194	19076.91	261.9
524.767	19056.08	250.2
525.340	19035.29	257.1
525.913	19014.55	262.3
526.486	18993.85	279
527.059	18973.20	268.5
527.632	18952.59	264
528.205	18932.03	275.3
528.778	18911.51	262.1
529.351	18891.04	275.2
529.925	18870.61	295.1
530.498	18850.22	302.1
531.071	18829.88	293.4
531.644	18809.59	268.1
532.217	18789.33	266.2
532.790	18769.12	276.4
533.363	18748.96	287.7
533.936	18728.83	286
534.509	18708.75	274.6
535.082	18688.72	283.3
535.655	18668.72	277
536.228	18648.77	280.8
536.801	18628.86	294.8
537.375	18608.99	295.7
537.948	18589.17	279.2
538.521	18569.39	266.9
539.094	18549.65	274.7
539.667	18529.95	280.7
540.240	18510.29	280.9
540.813	18490.68	284
541.386	18471.11	301
541.959	18451.57	275.8
542.532	18432.08	291.1
543.105	18412.63	287.3
543.678	18393.23	292.8
544.251	18373.86	283.2
544.825	18354.53	290.5
545.398	18335.25	304.8
545.971	18316.00	280.4
546.544	18296.80	257.1
547.117	18277.63	274.2
547.690	18258.51	304.5
548.263	18239.42	301.1
548.836	18220.38	293.7
549.409	18201.37	284.9
549.982	18182.41	270.8
550.555	18163.48	283.4
551.128	18144.59	268.3
551.701	18125.74	278.9
552.275	18106.94	265.8
552.848	18088.17	274.1
553.421	18069.44	285.1
553.994	18050.74	275.8
554.567	18032.09	278.1
555.140	18013.48	282.9
555.713	17994.90	278.1
556.286	17976.36	270.3
556.859	17957.86	258.5
557.432	17939.40	297.7
558.005	17920.98	279.1
558.578	17902.59	277.9
559.151	17884.24	273.9
559.725	17865.93	261.6
560.298	17847.66	263.5
560.871	17829.42	265.5
561.444	17811.22	267.2
562.017	17793.06	274.4
562.590	17774.94	276.6
563.163	17756.85	258.5
563.736	17738.80	278.7
564.309	17720.78	280.2
564.882	17702.81	267.9
565.455	17684.86	280.6
566.028	17666.96	275.6
566.601	17649.09	269.6
567.175	17631.26	266.9
567.748	17613.46	267.4
568.321	17595.70	264.1
568.894	17577.97	269.8
569.467	17560.29	266.7
570.040	17542.63	273.6
570.613	17525.01	278.2
571.186	17507.43	279
571.759	17489.88	274.9
572.332	17472.37	271.2
572.905	17454.89	283.8
573.478	17437.45	273.1
574.051	17420.04	271.4
574.625	17402.67	277
575.198	17385.33	268.3
575.771	17368.03	274
576.344	17350.76	269.8
576.917	17333.52	277.9
577.490	17316.32	296.1
578.063	17299.15	297.7
578.636	17282.02	285.7
579.209	17264.92	273.8
579.782	17247.86	287.8
580.355	17230.82	264
580.928	17213.83	271.5
581.501	17196.86	270
582.074	17179.93	272.1
582.648	17163.03	283.6
583.221	17146.17	274.3
583.794	17129.34	269
584.367	17112.54	268
584.940	17095.77	280.8
585.513	17079.04	293.9
586.086	17062.34	268
586.659	17045.67	235.6
587.232	17029.04	278.2
587.805	17012.44	281.7
588.378	16995.87	278
588.951	16979.33	285
589.524	16962.82	255.5
590.098	16946.35	274.4
590.671	16929.91	278.8
591.244	16913.50	279
591.817	16897.12	249.5
592.390	16880.78	305.1
592.963	16864.46	283.6
593.536	16848.18	264.3
594.109	16831.93	284.2
594.682	16815.71	270.4
595.255	16799.52	311.5
595.828	16783.36	239.5
596.401	16767.23	278.3
596.974	16751.14	270.9
597.548	16735.07	274.8
598.121	16719.04	271.2
598.694	16703.03	262.2
599.267	16687.06	261
599.840	16671.12	263.2
600.413	16655.20	283.6
600.986	16639.32	281.2
601.559	16623.47	265.6
602.132	16607.65	269.6
602.705	16591.86	288.5
603.278	16576.10	260.6
603.851	16560.37	247.2
604.424	16544.66	284
604.998	16528.99	258.2
605.571	16513.35	277.9
606.144	16497.74	262.6
606.717	16482.16	259.5
607.290	16466.60	276
607.863	16451.08	270.9
608.436	16435.58	263.2
609.009	16420.12	250.1
609.582	16404.68	246.4
610.155	16389.27	256.5
610.728	16373.89	264.8
611.301	16358.54	241.7
611.874	16343.22	263
612.448	16327.93	264.8
613.021	16312.67	293
613.594	16297.43	275
614.167	16282.22	258.3
614.740	16267.04	260
615.313	16251.89	272.5
615.886	16236.77	270.8
616.459	16221.68	264.4
617.032	16206.61	268.5
617.605	16191.57	285.5
618.178	16176.56	272.7
618.751	16161.58	271.5
619.324	16146.63	281.6
619.898	16131.70	286.8
620.471	16116.80	276.2
621.044	16101.93	272
621.617	16087.08	281
622.190	16072.27	271.2
622.763	16057.48	261.4
623.336	16042.71	257.5
623.909	16027.98	236.5
624.482	16013.27	246.6
625.055	15998.59	276.8
625.628	15983.93	279.9
626.201	15969.30	273.6
626.774	15954.70	292.8
627.348	15940.13	283.5
627.921	15925.58	288
628.494	15911.06	279.7
629.067	15896.56	274
629.640	15882.10	282.4
630.213	15867.65	295.1
630.786	15853.24	288.8
631.359	15838.85	283.4
