Wavelength [nm]	Wavenumbers [1/cm]	trans_azobenzene_epsilons
309.300	32331.07	2.134E4
309.400	32320.62	2.137E4
309.500	32310.18	2.14E4
309.600	32299.74	2.144E4
309.700	32289.31	2.146E4
309.800	32278.89	2.149E4
309.900	32268.47	2.152E4
310.000	32258.06	2.156E4
310.100	32247.66	2.159E4
310.200	32237.27	2.161E4
310.300	32226.88	2.165E4
310.400	32216.49	2.167E4
310.500	32206.12	2.17E4
310.600	32195.75	2.174E4
310.700	32185.39	2.177E4
310.800	32175.03	2.178E4
310.900	32164.68	2.182E4
311.000	32154.34	2.186E4
311.100	32144.01	2.189E4
311.200	32133.68	2.192E4
311.300	32123.35	2.195E4
311.400	32113.04	2.198E4
311.500	32102.73	2.2E4
311.600	32092.43	2.204E4
311.700	32082.13	2.206E4
311.800	32071.84	2.208E4
311.900	32061.56	2.212E4
312.000	32051.28	2.214E4
312.100	32041.01	2.217E4
312.200	32030.75	2.22E4
312.300	32020.49	2.223E4
312.400	32010.24	2.225E4
312.500	32000.00	2.227E4
312.600	31989.76	2.231E4
312.700	31979.53	2.233E4
312.800	31969.31	2.236E4
312.900	31959.09	2.239E4
313.000	31948.88	2.24E4
313.100	31938.68	2.243E4
313.200	31928.48	2.246E4
313.300	31918.29	2.248E4
313.400	31908.10	2.25E4
313.500	31897.93	2.251E4
313.600	31887.76	2.254E4
313.700	31877.59	2.258E4
313.800	31867.43	2.259E4
313.900	31857.28	2.262E4
314.000	31847.13	2.263E4
314.100	31836.99	2.265E4
314.200	31826.86	2.267E4
314.300	31816.74	2.269E4
314.400	31806.62	2.271E4
314.500	31796.50	2.272E4
314.600	31786.40	2.275E4
314.700	31776.29	2.276E4
314.800	31766.20	2.278E4
314.900	31756.11	2.28E4
315.000	31746.03	2.281E4
315.100	31735.96	2.281E4
315.200	31725.89	2.284E4
315.300	31715.83	2.286E4
315.400	31705.77	2.286E4
315.500	31695.72	2.287E4
315.600	31685.68	2.287E4
315.700	31675.64	2.289E4
315.800	31665.61	2.289E4
315.900	31655.59	2.292E4
316.000	31645.57	2.291E4
316.100	31635.56	2.292E4
316.200	31625.55	2.293E4
316.300	31615.55	2.293E4
316.400	31605.56	2.293E4
316.500	31595.58	2.293E4
316.600	31585.60	2.294E4
316.700	31575.62	2.294E4
316.800	31565.66	2.293E4
316.900	31555.70	2.295E4
317.000	31545.74	2.295E4
317.100	31535.79	2.294E4
317.200	31525.85	2.293E4
317.300	31515.92	2.294E4
317.400	31505.99	2.293E4
317.500	31496.06	2.292E4
317.600	31486.15	2.292E4
317.700	31476.24	2.29E4
317.800	31466.33	2.29E4
317.900	31456.43	2.29E4
318.000	31446.54	2.288E4
318.100	31436.66	2.287E4
318.200	31426.78	2.287E4
318.300	31416.90	2.286E4
318.400	31407.04	2.285E4
318.500	31397.17	2.283E4
318.600	31387.32	2.281E4
318.700	31377.47	2.28E4
318.800	31367.63	2.278E4
318.900	31357.79	2.277E4
319.000	31347.96	2.276E4
319.100	31338.14	2.274E4
319.200	31328.32	2.272E4
319.300	31318.51	2.27E4
319.400	31308.70	2.268E4
319.500	31298.90	2.267E4
319.600	31289.11	2.266E4
319.700	31279.32	2.263E4
319.800	31269.54	2.26E4
319.900	31259.77	2.258E4
320.000	31250.00	2.257E4
320.100	31240.24	2.254E4
320.200	31230.48	2.252E4
320.300	31220.73	2.25E4
320.400	31210.99	2.247E4
320.500	31201.25	2.245E4
320.600	31191.52	2.243E4
320.700	31181.79	2.24E4
320.800	31172.07	2.238E4
320.900	31162.36	2.236E4
321.000	31152.65	2.232E4
321.100	31142.95	2.231E4
321.200	31133.25	2.229E4
321.300	31123.56	2.225E4
321.400	31113.88	2.222E4
321.500	31104.20	2.22E4
321.600	31094.53	2.218E4
321.700	31084.86	2.215E4
321.800	31075.20	2.212E4
321.900	31065.55	2.21E4
322.000	31055.90	2.207E4
322.100	31046.26	2.205E4
322.200	31036.62	2.203E4
322.300	31026.99	2.199E4
322.400	31017.37	2.197E4
322.500	31007.75	2.195E4
322.600	30998.14	2.193E4
322.700	30988.53	2.19E4
322.800	30978.93	2.187E4
322.900	30969.34	2.185E4
323.000	30959.75	2.182E4
323.100	30950.17	2.18E4
323.200	30940.59	2.178E4
323.300	30931.02	2.174E4
323.400	30921.46	2.173E4
323.500	30911.90	2.171E4
323.600	30902.35	2.169E4
323.700	30892.80	2.166E4
323.800	30883.26	2.164E4
323.900	30873.73	2.161E4
324.000	30864.20	2.16E4
324.100	30854.67	2.157E4
