Wavelength [nm]	Wavenumbers [1/cm]	Intensity
488.090	20488.02	429.2
488.663	20464.00	423.6
489.236	20440.03	448.9
489.809	20416.11	410.2
490.382	20392.25	399.5
490.955	20368.45	391.6
491.528	20344.70	385.1
492.102	20321.01	378.1
492.675	20297.37	378.7
493.248	20273.79	367
493.821	20250.26	362.1
494.394	20226.79	357.9
494.967	20203.37	352.6
495.540	20180.01	347.9
496.113	20156.69	341.2
496.686	20133.44	324.1
497.259	20110.23	321
497.832	20087.09	327.7
498.405	20063.99	312.7
498.978	20040.95	301.3
499.552	20017.95	298.9
500.125	19995.02	296.1
500.698	19972.13	295.1
501.271	19949.30	289.2
501.844	19926.52	289.9
502.417	19903.79	289
502.990	19881.11	277.9
503.563	19858.49	275.8
504.136	19835.91	279.7
504.709	19813.39	280.1
505.282	19790.92	278.2
505.855	19768.50	273.4
506.428	19746.13	268.6
507.002	19723.81	260.9
507.575	19701.54	265
508.148	19679.32	260.8
508.721	19657.15	250.8
509.294	19635.03	265.1
509.867	19612.96	259.8
510.440	19590.94	251.6
511.013	19568.97	272.7
511.586	19547.05	255.7
512.159	19525.18	251.6
512.732	19503.36	272
513.305	19481.58	256.4
513.878	19459.86	255.7
514.452	19438.18	251.7
515.025	19416.55	254
515.598	19394.97	238.2
516.171	19373.43	252.2
516.744	19351.95	236.7
517.317	19330.51	240.5
517.890	19309.12	242
518.463	19287.78	218.3
519.036	19266.48	256.8
519.609	19245.23	243.4
520.182	19224.03	240.7
520.755	19202.88	250.5
521.328	19181.77	259.3
521.902	19160.70	256
522.475	19139.69	258.4
523.048	19118.72	254.6
523.621	19097.79	243.1
524.194	19076.91	241.8
524.767	19056.08	230.6
525.340	19035.29	236.9
525.913	19014.55	241.8
526.486	18993.85	256.1
527.059	18973.20	246.6
527.632	18952.59	243.7
528.205	18932.03	253.4
528.778	18911.51	239.4
529.351	18891.04	253.5
529.925	18870.61	273.5
530.498	18850.22	280.7
531.071	18829.88	271.9
531.644	18809.59	247
532.217	18789.33	243.8
532.790	18769.12	253.2
533.363	18748.96	266
533.936	18728.83	262.8
534.509	18708.75	251
535.082	18688.72	260.7
535.655	18668.72	254.9
536.228	18648.77	258.8
536.801	18628.86	272.3
537.375	18608.99	275
537.948	18589.17	256.9
538.521	18569.39	243.3
539.094	18549.65	252
539.667	18529.95	258
540.240	18510.29	256.1
540.813	18490.68	259.7
541.386	18471.11	278.2
541.959	18451.57	253.9
542.532	18432.08	268.2
543.105	18412.63	265.4
543.678	18393.23	271.5
544.251	18373.86	259.6
544.825	18354.53	266.9
545.398	18335.25	283.4
545.971	18316.00	257.2
546.544	18296.80	234
547.117	18277.63	250.3
547.690	18258.51	282.1
548.263	18239.42	278
548.836	18220.38	267.9
549.409	18201.37	261
549.982	18182.41	248
550.555	18163.48	260.5
551.128	18144.59	244.6
551.701	18125.74	256.5
552.275	18106.94	242
552.848	18088.17	251
553.421	18069.44	261.5
553.994	18050.74	252.2
554.567	18032.09	253.8
555.140	18013.48	259.3
555.713	17994.90	253.1
556.286	17976.36	246.9
556.859	17957.86	234.8
557.432	17939.40	274
558.005	17920.98	253.5
558.578	17902.59	253.3
559.151	17884.24	248.2
559.725	17865.93	237.4
560.298	17847.66	239.7
560.871	17829.42	241.8
561.444	17811.22	242.4
562.017	17793.06	250.8
562.590	17774.94	252.2
563.163	17756.85	233.9
563.736	17738.80	255.4
564.309	17720.78	257.1
564.882	17702.81	243.5
565.455	17684.86	255.1
566.028	17666.96	250.9
566.601	17649.09	244.5
567.175	17631.26	241.6
567.748	17613.46	242.8
568.321	17595.70	240.5
568.894	17577.97	245.7
569.467	17560.29	242.2
570.040	17542.63	249.1
570.613	17525.01	254.6
571.186	17507.43	255.7
571.759	17489.88	251.3
572.332	17472.37	248.6
572.905	17454.89	261.1
573.478	17437.45	249.3
574.051	17420.04	246.7
574.625	17402.67	253
575.198	17385.33	245.6
575.771	17368.03	249.6
576.344	17350.76	244.9
576.917	17333.52	254.5
577.490	17316.32	273.4
578.063	17299.15	274.3
578.636	17282.02	262.2
579.209	17264.92	249.2
579.782	17247.86	264.3
580.355	17230.82	240.1
580.928	17213.83	247.7
581.501	17196.86	247.5
582.074	17179.93	247.4
582.648	17163.03	257.6
583.221	17146.17	248.3
583.794	17129.34	244.4
584.367	17112.54	242.2
584.940	17095.77	256
585.513	17079.04	269.6
586.086	17062.34	244.3
586.659	17045.67	211.3
587.232	17029.04	254
587.805	17012.44	256.9
588.378	16995.87	252.1
588.951	16979.33	261
589.524	16962.82	231.3
590.098	16946.35	250.6
590.671	16929.91	253.3
591.244	16913.50	253.7
591.817	16897.12	225.9
592.390	16880.78	279.7
592.963	16864.46	258.4
593.536	16848.18	239
594.109	16831.93	259.5
594.682	16815.71	246.4
595.255	16799.52	286.5
595.828	16783.36	213.3
596.401	16767.23	255.1
596.974	16751.14	245.2
597.548	16735.07	249.4
598.121	16719.04	247.4
598.694	16703.03	238.1
599.267	16687.06	235.9
599.840	16671.12	237.7
600.413	16655.20	257.6
600.986	16639.32	254.3
