Wavelength [nm]	Wavenumbers [1/cm]	LED395nm_Intensity_baselined
469.752	21287.84	-12.34
470.325	21261.90	-2.746
470.898	21236.02	-1.044
471.471	21210.21	-4.544
472.044	21184.46	-2.838
472.617	21158.77	7.766
473.190	21133.15	20.06
473.763	21107.58	18.72
474.336	21082.08	-3.975
474.910	21056.64	-24.6
475.483	21031.26	0.4549
476.056	21005.95	16.03
476.629	20980.69	3.067
477.202	20955.49	7.754
477.775	20930.36	2.958
478.348	20905.28	-8.243
478.921	20880.27	-5.844
479.494	20855.31	-5.742
480.067	20830.42	-3.238
480.640	20805.58	4.034
481.213	20780.80	-19.22
481.786	20756.08	3.076
482.360	20731.42	16.5
482.933	20706.82	-12.03
483.506	20682.28	-13.63
484.079	20657.80	2.154
484.652	20633.37	6.054
485.225	20609.00	11.85
485.798	20584.69	-13.74
486.371	20560.43	5.855
486.944	20536.24	-8.449
487.517	20512.10	-22.54
488.090	20488.01	-18.94
488.663	20463.99	-12
489.236	20440.02	22.22
489.809	20416.10	-6.446
490.383	20392.24	-7.543
490.956	20368.44	-7.54
491.529	20344.69	-3.846
492.102	20321.00	-3.944
492.675	20297.36	3.252
493.248	20273.78	-1.043
493.821	20250.25	1.356
494.394	20226.78	4.456
494.967	20203.36	5.858
495.540	20180.00	7.752
496.113	20156.68	3.245
496.686	20133.43	-6.94
497.259	20110.22	-3.825
497.833	20087.08	7.438
498.406	20063.98	-2.544
498.979	20040.94	-8.738
499.552	20017.94	-6.646
500.125	19995.01	-6.444
500.698	19972.12	-4.044
501.271	19949.29	-6.144
501.844	19926.51	-1.743
502.417	19903.78	0.6517
502.990	19881.10	-7.844
503.563	19858.48	-7.638
504.136	19835.90	-1.442
504.709	19813.38	0.3572
505.283	19790.91	0.953
505.856	19768.49	-2.044
506.429	19746.12	-4.452
507.002	19723.80	-12.64
507.575	19701.53	-6.148
508.148	19679.31	-9.942
508.721	19657.14	-18.74
509.294	19635.02	-3.244
509.867	19612.95	-6.746
510.440	19590.93	-12.03
511.013	19568.96	8.941
511.586	19547.04	-6.849
512.159	19525.17	-10.82
512.733	19503.35	7.231
513.306	19481.57	-4.738
513.879	19459.85	-7.146
514.452	19438.17	-9.642
515.025	19416.54	-6.846
515.598	19394.96	-22.84
516.171	19373.43	-5.945
516.744	19351.94	-21.54
517.317	19330.50	-17.04
517.890	19309.11	-16.66
518.463	19287.77	-38.71
519.036	19266.47	1.239
519.609	19245.22	-12.54
520.183	19224.02	-14.13
520.756	19202.87	-5.541
521.329	19181.76	2.949
521.902	19160.69	0.5585
522.475	19139.68	2.155
523.048	19118.71	0.05714
523.621	19097.78	-10.04
524.194	19076.91	-11.24
524.767	19056.07	-22.94
525.340	19035.28	-16.04
525.913	19014.54	-10.83
526.486	18993.84	5.844
527.059	18973.19	-4.65
527.632	18952.59	-9.125
528.206	18932.02	2.136
528.779	18911.50	-11.02
529.352	18891.03	2.074
529.925	18870.60	21.94
530.498	18850.22	28.95
531.071	18829.88	20.26
531.644	18809.58	-5.044
532.217	18789.32	-6.94
532.790	18769.11	3.263
533.363	18748.95	14.56
533.936	18728.82	12.84
534.509	18708.74	1.468
535.082	18688.71	10.14
535.656	18668.71	3.865
536.229	18648.76	7.669
536.802	18628.85	21.65
537.375	18608.99	22.56
537.948	18589.16	6.065
538.521	18569.38	-6.241
539.094	18549.64	1.556
539.667	18529.94	7.556
540.240	18510.29	7.758
540.813	18490.67	10.87
541.386	18471.10	27.83
541.959	18451.57	2.676
542.532	18432.08	17.95
543.106	18412.63	14.16
543.679	18393.22	19.65
544.252	18373.85	10.07
544.825	18354.53	17.35
545.398	18335.24	31.65
545.971	18315.99	7.264
546.544	18296.79	-16.04
547.117	18277.62	1.062
547.690	18258.50	31.36
548.263	18239.41	27.95
548.836	18220.37	20.55
549.409	18201.36	11.74
549.982	18182.40	-2.325
550.556	18163.47	10.23
551.129	18144.59	-4.823
551.702	18125.74	5.735
552.275	18106.93	-7.331
552.848	18088.16	0.9508
553.421	18069.43	11.95
553.994	18050.74	2.657
554.567	18032.08	4.956
555.140	18013.47	9.754
555.713	17994.89	4.951
556.286	17976.36	-2.855
556.859	17957.86	-14.6
557.432	17939.39	24.53
558.006	17920.97	5.954
558.579	17902.58	4.753
559.152	17884.24	0.7451
559.725	17865.92	-11.53
560.298	17847.65	-9.645
560.871	17829.42	-7.644
561.444	17811.22	-5.944
562.017	17793.05	1.256
562.590	17774.93	3.45
563.163	17756.84	-14.63
563.736	17738.79	5.558
564.309	17720.78	7.043
564.882	17702.80	-5.226
565.455	17684.86	7.448
566.029	17666.95	2.455
566.602	17649.08	-3.543
567.175	17631.25	-6.241
567.748	17613.45	-5.744
